,DATE,Unemployment Rate,Indicator,Year,Month
0,2000-01-01,4.0,Low,2000,January
1,2000-02-01,4.1,Low,2000,February
2,2000-03-01,4.0,Low,2000,March
3,2000-04-01,3.8,Low,2000,April
4,2000-05-01,4.0,Low,2000,May
5,2000-06-01,4.0,Low,2000,June
6,2000-07-01,4.0,Low,2000,July
7,2000-08-01,4.1,Low,2000,August
8,2000-09-01,3.9,Low,2000,September
9,2000-10-01,3.9,Low,2000,October
10,2000-11-01,3.9,Low,2000,November
11,2000-12-01,3.9,Low,2000,December
12,2001-01-01,4.2,Low,2001,January
13,2001-02-01,4.2,Low,2001,February
14,2001-03-01,4.3,Low,2001,March
15,2001-04-01,4.4,Low,2001,April
16,2001-05-01,4.3,Low,2001,May
17,2001-06-01,4.5,Low,2001,June
18,2001-07-01,4.6,Low,2001,July
19,2001-08-01,4.9,Low,2001,August
20,2001-09-01,5.0,High,2001,September
21,2001-10-01,5.3,High,2001,October
22,2001-11-01,5.5,High,2001,November
23,2001-12-01,5.7,High,2001,December
24,2002-01-01,5.7,High,2002,January
25,2002-02-01,5.7,High,2002,February
26,2002-03-01,5.7,High,2002,March
27,2002-04-01,5.9,High,2002,April
28,2002-05-01,5.8,High,2002,May
29,2002-06-01,5.8,High,2002,June
30,2002-07-01,5.8,High,2002,July
31,2002-08-01,5.7,High,2002,August
32,2002-09-01,5.7,High,2002,September
33,2002-10-01,5.7,High,2002,October
34,2002-11-01,5.9,High,2002,November
35,2002-12-01,6.0,High,2002,December
36,2003-01-01,5.8,High,2003,January
37,2003-02-01,5.9,High,2003,February
38,2003-03-01,5.9,High,2003,March
39,2003-04-01,6.0,High,2003,April
40,2003-05-01,6.1,High,2003,May
41,2003-06-01,6.3,High,2003,June
42,2003-07-01,6.2,High,2003,July
43,2003-08-01,6.1,High,2003,August
44,2003-09-01,6.1,High,2003,September
45,2003-10-01,6.0,High,2003,October
46,2003-11-01,5.8,High,2003,November
47,2003-12-01,5.7,High,2003,December
48,2004-01-01,5.7,High,2004,January
49,2004-02-01,5.6,High,2004,February
50,2004-03-01,5.8,High,2004,March
51,2004-04-01,5.6,High,2004,April
52,2004-05-01,5.6,High,2004,May
53,2004-06-01,5.6,High,2004,June
54,2004-07-01,5.5,High,2004,July
55,2004-08-01,5.4,High,2004,August
56,2004-09-01,5.4,High,2004,September
57,2004-10-01,5.5,High,2004,October
58,2004-11-01,5.4,High,2004,November
59,2004-12-01,5.4,High,2004,December
60,2005-01-01,5.3,High,2005,January
61,2005-02-01,5.4,High,2005,February
62,2005-03-01,5.2,High,2005,March
63,2005-04-01,5.2,High,2005,April
64,2005-05-01,5.1,High,2005,May
65,2005-06-01,5.0,High,2005,June
66,2005-07-01,5.0,High,2005,July
67,2005-08-01,4.9,Low,2005,August
68,2005-09-01,5.0,High,2005,September
69,2005-10-01,5.0,High,2005,October
70,2005-11-01,5.0,High,2005,November
71,2005-12-01,4.9,Low,2005,December
72,2006-01-01,4.7,Low,2006,January
73,2006-02-01,4.8,Low,2006,February
74,2006-03-01,4.7,Low,2006,March
75,2006-04-01,4.7,Low,2006,April
76,2006-05-01,4.6,Low,2006,May
77,2006-06-01,4.6,Low,2006,June
78,2006-07-01,4.7,Low,2006,July
79,2006-08-01,4.7,Low,2006,August
80,2006-09-01,4.5,Low,2006,September
81,2006-10-01,4.4,Low,2006,October
82,2006-11-01,4.5,Low,2006,November
83,2006-12-01,4.4,Low,2006,December
84,2007-01-01,4.6,Low,2007,January
85,2007-02-01,4.5,Low,2007,February
86,2007-03-01,4.4,Low,2007,March
87,2007-04-01,4.5,Low,2007,April
88,2007-05-01,4.4,Low,2007,May
89,2007-06-01,4.6,Low,2007,June
90,2007-07-01,4.7,Low,2007,July
91,2007-08-01,4.6,Low,2007,August
92,2007-09-01,4.7,Low,2007,September
93,2007-10-01,4.7,Low,2007,October
94,2007-11-01,4.7,Low,2007,November
95,2007-12-01,5.0,High,2007,December
96,2008-01-01,5.0,High,2008,January
97,2008-02-01,4.9,Low,2008,February
98,2008-03-01,5.1,High,2008,March
99,2008-04-01,5.0,High,2008,April
100,2008-05-01,5.4,High,2008,May
101,2008-06-01,5.6,High,2008,June
102,2008-07-01,5.8,High,2008,July
103,2008-08-01,6.1,High,2008,August
104,2008-09-01,6.1,High,2008,September
105,2008-10-01,6.5,High,2008,October
106,2008-11-01,6.8,High,2008,November
107,2008-12-01,7.3,High,2008,December
108,2009-01-01,7.8,High,2009,January
109,2009-02-01,8.3,High,2009,February
110,2009-03-01,8.7,High,2009,March
111,2009-04-01,9.0,High,2009,April
112,2009-05-01,9.4,High,2009,May
113,2009-06-01,9.5,High,2009,June
114,2009-07-01,9.5,High,2009,July
